time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/approx_kl
113,142.03,1851392,9799,-99887.94166667,188,-20.413687402755023,0.02210693359375,0.2,0.0011,313554944.0,1120,581793118.30625,7.552062034606934,-0.0005861752855707891,-1.1920928955078125e-07,0.0042128963
114,145.93,1867776,9884,-99405.6625,188,-20.526952932029964,0.107421875,0.2,0.0011,467727008.0,1130,511379451.08125,7.691054344177246,0.002862918313803675,0.0,0.009132226
115,158.22,1884160,9968,-100160.6225,189,-20.65711541697383,0.039373779296875,0.2,0.0011,319272192.0,1140,483527998.6375,7.882133483886719,-0.0007397564886559849,5.960464477539063e-08,0.0057427604
116,120.71,1900544,10052,-100075.57916667,189,-20.81199369728565,0.092059326171875,0.2,0.0011,220325328.0,1150,454751814.975,8.103799819946289,0.002632905627069704,5.960464477539063e-08,0.01372584
117,109.29,1916928,10137,-100567.92083333,189,-20.907358350604774,0.0149658203125,0.2,0.0011,273277536.0,1160,568629666.60625,8.190154075622559,-0.0015895664368144936,0.0,0.002148964
118,120.81,1933312,10221,-99673.315,189,-21.00351549759507,0.019696044921875,0.2,0.0011,317482240.0,1170,639339409.21875,8.358668327331543,-0.0007034568736344227,-0.0005744695663452148,0.003513731
119,113.51,1949696,10305,-99809.7375,189,-21.121145993471146,0.025128173828125,0.2,0.0011,435461408.0,1180,582994975.2375,8.519015312194824,-0.0009289641897339606,-2.384185791015625e-06,0.004081033
120,139.85,1966080,10389,-99760.0,189,-21.230505278706552,0.033282470703125,0.2,0.0011,483277216.0,1190,594953683.9125,8.683480262756348,-0.0011179249142514891,0.0,0.0036238509
121,137.6,1982464,10474,-99622.75,189,-21.306901890784502,0.025775146484375,0.2,0.0011,212932576.0,1200,503226854.79375,8.759241104125977,-0.002151729263641755,-1.1920928955078125e-07,0.0025596544
122,160.47,1998848,10558,-99727.7,189,-21.40175502821803,0.04315185546875,0.2,0.0011,538518528.0,1210,504204651.053125,8.927387237548828,-0.001011734392523067,-0.004557490348815918,0.0034318254
123,146.62,2015232,10641,-99600.78,189,-21.441361528635024,0.008935546875,0.2,0.0011,96721624.0,1220,443992077.390625,8.955621719360352,-0.000356130399813992,0.003543853759765625,0.00100304
