time/time_elapsed,train/critic_loss,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss,time/fps,train/learning_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean
3445,19.63616180419922,0.0009255113545805216,118332,-134.89007568359375,0.016783952713012695,137,0.0001,473432,1828,118.0,-79863.30214285999
3446,19.683517456054688,0.0009276113705709577,118368,-168.8676300048828,3.2293543815612793,137,0.0001,473576,1832,118.33,-79863.64214286
3448,234.4862060546875,0.0009302313555963337,118416,-175.15084838867188,3.0255541801452637,137,0.0001,473768,1836,118.28,-79863.59714286
3449,39.283695220947266,0.0009335458162240684,118469,-191.6592559814453,9.422465324401855,137,0.0001,473980,1840,110.52,-79956.98071429
3451,234.4123077392578,0.0009388075559400022,118529,-92.93871307373047,-1.9659743309020996,137,0.0001,474220,1844,116.54,-79963.02821429
3454,468.8548889160156,0.0009441178990527987,118617,-319.5859680175781,13.97608757019043,137,0.0001,474572,1848,117.5,-79964.00071429
3457,0.22829176485538483,0.0009515099809505045,118725,-276.2052001953125,6.222938537597656,137,0.0001,475004,1852,109.39,-79955.89321429
3463,0.1255318522453308,0.0009693510364741087,118947,-111.63844299316406,2.3920092582702637,137,0.0001,475892,1856,100.63,-79846.76392858001
3485,253.9285430908203,0.0010400873143225908,119753,-82.14429473876953,1.7241767644882202,137,0.0001,479116,1860,116.01,-79559.93714287
3489,234.37196350097656,0.001045633340254426,119875,-60.842063903808594,-2.6303162574768066,137,0.0001,479604,1864,130.08,-78372.01678573
3491,39.18655776977539,0.0010507430415600538,119974,-135.4636993408203,5.205724716186523,137,0.0001,480000,1865,130.56,-78372.49678572999
3512,19.736618041992188,0.0010852852137759328,120741,-219.13125610351562,1.6853926181793213,137,0.0001,483068,1868,146.55,-78085.12142858999
3523,19.677255630493164,0.0011025877902284265,121181,-127.74417114257812,2.1016175746917725,137,0.0001,484828,1872,167.87,-75700.57535715999
3537,0.09538102149963379,0.001122832065448165,121717,-121.39079284667969,-3.039473533630371,137,0.0001,486972,1876,180.02,-75307.38714287
3557,273.4372863769531,0.001160480547696352,122465,-77.01300048828125,-3.416973114013672,137,0.0001,489964,1880,200.95,-74021.52428572999
3557,39.27109909057617,0.0011610438814386725,122474,-238.6330108642578,4.561001300811768,137,0.0001,490000,1880,200.95,-74021.52428572999
