time/episodes,train/n_updates,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/ent_coef_loss,time/fps,train/ent_coef
708,41676,339.42156982421875,166808,990,-85741.825,460.87,2142.060791015625,0.0003,-1.4511492252349854,168,0.23302793502807617
712,41838,395.7109375,167456,994,-85710.325,457.72,2680.865478515625,0.0003,-0.3971219062805176,168,0.23390807211399078
716,41987,246.38272094726562,168052,997,-85635.575,462.73,2468.13525390625,0.0003,-0.21637967228889465,168,0.23465867340564728
720,42065,346.95794677734375,168364,999,-85491.6375,460.9,2167.482666015625,0.0003,-0.8808527588844299,168,0.23390233516693115
724,42141,321.1151123046875,168668,1001,-85365.0375,448.24,1889.517333984375,0.0003,-0.2777408957481384,168,0.2337675243616104
728,42226,200.31248474121094,169008,1003,-86231.3375,434.88,2923.56640625,0.0003,0.19209986925125122,168,0.23290514945983887
732,42293,199.77098083496094,169276,1005,-86122.7375,424.02,2263.43603515625,0.0003,0.8131563067436218,168,0.23274201154708862
736,42369,683.9601440429688,169580,1006,-86001.7375,411.92,2039.245849609375,0.0003,0.5435203313827515,168,0.23252488672733307
740,42521,313.9865417480469,170188,1010,-86008.45,402.32,1915.5950927734375,0.0003,-1.4924819469451904,168,0.2308274805545807
744,42660,497.4369812011719,170744,1013,-85997.775,387.77,2014.54833984375,0.0003,-0.23159459233283997,168,0.23079921305179596
748,42818,538.7261962890625,171376,1017,-86159.05,365.62,2206.8115234375,0.0003,-1.3391640186309814,168,0.22762379050254822
752,42995,409.6664123535156,172084,1021,-87042.2375,342.82,2825.5625,0.0003,1.2093333005905151,168,0.22657187283039093
756,43094,426.65313720703125,172480,1024,-90661.8375,304.82,2258.634521484375,0.0003,0.6383442878723145,168,0.22737634181976318
760,43163,703.8977661132812,172756,1025,-92421.8375,280.84,2500.90380859375,0.0003,-1.5759600400924683,168,0.22711624205112457
764,43253,147.71788024902344,173116,1028,-93204.2375,259.09,2037.227294921875,0.0003,-1.895667314529419,168,0.2260628342628479
768,43311,391.8289489746094,173348,1029,-94905.0375,229.19,2487.33251953125,0.0003,2.094130516052246,168,0.2241297960281372
772,43367,417.5481872558594,173572,1030,-94819.0375,220.59,3108.000244140625,0.0003,0.012856841087341309,168,0.22410210967063904
776,43425,126.35281372070312,173804,1032,-94705.1375,209.2,1758.0589599609375,0.0003,-0.8156092762947083,168,0.22377994656562805
780,43478,77.11320495605469,174016,1033,-95577.6375,196.46,1417.6934814453125,0.0003,-2.7602572441101074,168,0.2234668731689453
784,43544,420.5314636230469,174280,1035,-96417.7375,180.48,2793.17578125,0.0003,0.9145447015762329,168,0.22084644436836243
788,43610,437.7762145996094,174544,1036,-96294.3375,168.14,2475.05615234375,0.0003,0.019589483737945557,168,0.21973386406898499
792,43679,322.19195556640625,174820,1038,-97155.3375,154.25,1932.7130126953125,0.0003,-1.8249249458312988,168,0.21777185797691345
796,43752,312.1361999511719,175112,1040,-98083.2125,134.34,2241.658203125,0.0003,0.9198912382125854,168,0.21583902835845947
800,43815,168.86309814453125,175364,1041,-98961.4125,122.17,2485.262451171875,0.0003,0.21031014621257782,168,0.21466587483882904
804,43893,327.62445068359375,175676,1043,-99808.3125,106.87,1960.906005859375,0.0003,-0.801901638507843,168,0.21314211189746857
808,43985,984.3020629882812,176044,1045,-99714.6125,97.5,2531.4169921875,0.0003,-1.0783236026763916,168,0.21242722868919373
812,44098,132.04116821289062,176496,1048,-99718.8125,97.92,2193.34765625,0.0003,-0.8303601145744324,168,0.2103123515844345
816,44192,276.4797668457031,176872,1050,-99795.4625,93.1,1541.993408203125,0.0003,-0.04153406620025635,168,0.20987094938755035
820,44340,592.8836059570312,177464,1054,-99875.9,88.58,2934.9267578125,0.0003,1.4646958112716675,168,0.2084631621837616
824,44422,340.2430114746094,177792,1056,-99872.2,88.21,2486.4404296875,0.0003,0.8978872299194336,168,0.20732848346233368
828,44495,127.42819213867188,178084,1057,-99902.1,91.2,1843.8878173828125,0.0003,-1.722362756729126,168,0.20673225820064545
832,44569,453.5793151855469,178380,1059,-99904.7,91.46,3003.496337890625,0.0003,1.7942973375320435,168,0.20456352829933167
836,44651,89.63966369628906,178708,1061,-99912.4,92.23,1593.3720703125,0.0003,-1.8781485557556152,168,0.20239366590976715
