train/actor_loss,time/total_timesteps,time/fps,train/critic_loss,train/n_updates,train/learning_rate,train/ent_coef,rollout/ep_len_mean,time/time_elapsed,train/ent_coef_loss,time/episodes,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
-4109.392578125,1679688,253,143449.84375,209948,0.001,2.187887668609619,74.06,6618,0.16837149858474731,7788,9418.163618850002,,
-4199.32666015625,1679840,253,81310.859375,209967,0.001,2.1847293376922607,71.59,6619,0.3610806465148926,7792,9579.524927940001,,
-4297.654296875,1680000,253,57870.30078125,209987,0.001,2.1768059730529785,71.59,6619,-0.02629683166742325,7794,9284.047539619998,,
,1680000,,,,,,,,,,,43.4,11072.276064200001
-3954.5302734375,1680032,253,92152.390625,209991,0.001,2.1754956245422363,70.94,6620,0.4430648386478424,7796,9288.26765234,,
-4211.23388671875,1680176,253,49150.5,210009,0.001,2.1635890007019043,70.69,6620,0.10686688125133514,7800,9280.79121225,,
-3984.80859375,1680344,253,81970.828125,210030,0.001,2.151393413543701,68.23,6621,0.30672067403793335,7804,9332.831522150002,,
-4110.52099609375,1680528,253,171720.75,210053,0.001,2.1364314556121826,67.7,6621,0.3622250556945801,7808,9344.515029729999,,
-4435.0380859375,1680744,253,58627.3046875,210080,0.001,2.1126718521118164,66.6,6622,0.24086090922355652,7812,9363.31065829,,
-4268.384765625,1680880,253,81712.3125,210097,0.001,2.0988121032714844,66.89,6623,-0.06493307650089264,7816,9375.147098100002,,
-4470.28759765625,1681040,253,80830.171875,210117,0.001,2.096818447113037,67.41,6623,-0.28544121980667114,7820,9366.68928028,,
-4284.224609375,1681208,253,116012.5625,210138,0.001,2.1045923233032227,67.04,6624,-0.03415535390377045,7824,9377.56976305,,
-4110.380859375,1681384,253,73957.0,210160,0.001,2.119769811630249,66.04,6624,-0.2697947323322296,7828,9405.98412418,,
-4429.033203125,1681576,253,55371.55078125,210184,0.001,2.135735034942627,60.87,6625,0.09006389230489731,7832,9437.36189903,,
-4356.3896484375,1681864,253,73093.71875,210220,0.001,2.1480207443237305,59.69,6626,-0.14974534511566162,7836,9450.790123009998,,
-4305.984375,1682168,253,107236.578125,210258,0.001,2.15519118309021,59.31,6627,-0.05751878395676613,7840,9446.619963019999,,
-4145.3271484375,1682464,253,69728.8125,210295,0.001,2.1664788722991943,57.63,6628,0.019381821155548096,7844,9453.339656999999,,
-4308.2880859375,1683152,253,95609.203125,210381,0.001,2.1777572631835938,58.28,6630,-0.28502678871154785,7848,9449.34304347,,
-4067.577880859375,1683672,253,59795.73046875,210446,0.001,2.18587589263916,59.26,6631,-0.0974431186914444,7852,9455.02017173,,
-4461.0556640625,1683976,253,79003.6875,210484,0.001,2.2005562782287598,63.82,6633,-0.031781017780303955,7856,9429.87831409,,
-4156.75634765625,1684304,253,77150.546875,210525,0.001,2.226762533187866,68.46,6634,-0.24410347640514374,7860,9406.821455199999,,
-4128.5341796875,1684608,253,70688.3984375,210563,0.001,2.2461555004119873,69.11,6635,-0.3098335266113281,7864,9396.711886300001,,
-4151.8837890625,1684912,253,73291.765625,210601,0.001,2.2553927898406982,60.14,6636,0.0540480837225914,7868,10084.55898307,,
-4349.70751953125,1684944,253,65221.4453125,210605,0.001,2.2552828788757324,59.77,6636,0.04014842212200165,7872,10086.745337549999,,
-4428.8203125,1685248,253,72256.6796875,210643,0.001,2.2482848167419434,57.85,6637,0.25616705417633057,7876,10577.752038349998,,
-4519.763671875,1685560,253,51797.83203125,210682,0.001,2.2302303314208984,57.91,6638,-0.1862790584564209,7880,10581.32770151,,
-4349.203125,1685920,253,68383.546875,210727,0.001,2.2039055824279785,56.75,6639,0.06560270488262177,7884,10582.80573142,,
-4028.414794921875,1686176,253,59421.234375,210759,0.001,2.1836323738098145,57.06,6640,0.051078781485557556,7888,10574.6448111,,
-4215.49609375,1686472,253,73753.921875,210796,0.001,2.153130292892456,56.95,6641,0.11156980693340302,7892,10574.366973179998,,
