train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,time/episodes,train/actor_loss,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean
46815848.0,-24.076744079589844,108.75,15.182768821716309,0.001,8772,716,17612.203125,240,35192,146,-99633.55
26579144.0,-24.775226593017578,102.63,15.50609016418457,0.001,8872,720,16942.095703125,243,35592,146,-99470.55
31159070.0,-26.412914276123047,101.82,15.785385131835938,0.001,8958,724,16848.9609375,245,35936,146,-99260.125
52993752.0,-26.03882598876953,100.88,16.628145217895508,0.001,9199,728,18047.546875,251,36900,146,-99150.725
40006152.0,-25.531343460083008,99.02,17.649391174316406,0.001,9482,732,19443.66015625,259,38032,146,-99132.125
19065576.0,-26.219572067260742,104.33,18.594358444213867,0.001,9732,736,21335.90234375,266,39032,146,-99041.19583333
13976144.0,-26.95940589904785,110.91,19.500560760498047,0.001,9953,740,18300.013671875,272,39916,146,-98849.5
26611662.0,-25.20656967163086,117.8,20.11166763305664,0.001,10097,744,19349.109375,276,40492,146,-99001.0
39631584.0,-24.08598518371582,117.9,20.956167221069336,0.001,10301,748,23412.17578125,281,41308,146,-98792.25
15143904.0,-23.97003173828125,111.86,21.693674087524414,0.001,10478,752,19110.513671875,286,42016,146,-98832.0
38677492.0,-23.70938491821289,117.37,22.226566314697266,0.001,10597,756,19803.83984375,289,42492,146,-98887.1
37315852.0,-24.076324462890625,117.23,22.720836639404297,0.001,10710,760,21538.625,292,42944,146,-98784.875
18864554.0,-22.468381881713867,117.67,23.346229553222656,0.001,10840,764,21151.068359375,296,43464,146,-98587.475
21150280.0,-24.083415985107422,123.03,23.765066146850586,0.001,10929,768,21736.09765625,298,43820,146,-98308.3625
34078504.0,-24.195026397705078,122.82,24.029842376708984,0.001,10982,772,23878.078125,300,44032,146,-98306.2625
38986828.0,-21.0524959564209,123.9,24.712461471557617,0.001,11123,776,20849.09375,303,44596,146,-98417.8125
21773368.0,-23.379152297973633,126.92,25.26218605041504,0.001,11233,780,21571.650390625,306,45036,146,-98649.7375
39242120.0,-20.938648223876953,130.6,26.13848114013672,0.001,11398,784,23718.2265625,311,45696,146,-98684.3625
16912904.0,-20.479049682617188,132.83,26.781692504882812,0.001,11531,788,22110.4140625,315,46228,146,-98499.4625
12660238.0,-19.433914184570312,138.67,27.520164489746094,0.001,11681,792,23616.8671875,319,46828,146,-98430.1125
22413952.0,-17.946380615234375,136.76,27.761764526367188,0.001,11731,796,22555.35546875,320,47028,146,-98411.0125
16419168.0,-21.71102523803711,137.24,28.215309143066406,0.001,11826,800,24055.12109375,323,47408,146,-98312.4375
9617016.0,-17.430953979492188,137.84,29.02134132385254,0.001,11981,804,26063.169921875,327,48028,146,-98326.4375
15887507.0,-21.18860626220703,139.16,29.853960037231445,0.001,12132,808,25109.078125,331,48632,146,-98337.7625
29165600.0,-18.325096130371094,145.5,30.87781524658203,0.001,12311,812,24157.76953125,336,49348,146,-98401.1625
24935096.0,-16.337738037109375,146.21,31.626571655273438,0.001,12448,816,27916.876953125,340,49896,146,-98194.6875
12886065.0,-18.608346939086914,147.53,32.58776092529297,0.001,12627,820,24367.4375,344,50612,146,-98200.1625
21069602.0,-18.475807189941406,148.82,33.42178726196289,0.001,12772,824,25746.986328125,348,51192,146,-97996.9875
12532107.0,-16.494598388671875,150.26,34.57554626464844,0.001,12971,828,24578.46875,354,51988,146,-97902.8375
11137920.0,-17.633594512939453,146.32,35.26895523071289,0.001,13090,832,25913.69140625,357,52464,146,-97863.4375
20654654.0,-18.057350158691406,146.71,36.47388458251953,0.001,13280,836,23771.96484375,362,53224,146,-97862.24166667
12622193.0,-15.076207160949707,148.77,38.180171966552734,0.001,13554,840,26987.9140625,369,54320,146,-98096.7625
