time/fps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/ep_rew_mean,time/total_timesteps,rollout/return_std
1729,5.125,524,2.0100758035823674e-07,164,0.02,0.05,-87805.527839625,907668,12437.341796875
1728,4.75,525,3.2186667340283748e-06,165,0.02,0.05,-83544.5369230625,907972,776.7191162109375
1728,5.0,525,4.1522234823787585e-06,166,0.02,0.05,-83524.133359125,908292,602.0870361328125
1728,5.0,525,2.4735847546253353e-05,167,0.02,0.05,-83380.48462100001,908612,101.0678939819336
1728,5.0,525,2.1805713913636282e-05,168,0.02,0.05,-83381.093547125,908932,114.64884948730469
1728,4.9375,526,2.1271173409331823e-06,169,0.02,0.05,-83682.74102662501,909248,1175.299560546875
1727,4.875,526,5.010989752918249e-06,170,0.02,0.05,-83508.1453315,909560,498.9034118652344
1727,4.875,526,5.1532529141695704e-06,171,0.02,0.05,-83532.6681733125,909872,485.1304931640625
1727,5.0,526,0.0005943464930169284,172,0.02,0.05,-83410.50349925,910192,4.206300735473633
1727,5.0,527,0.0008930987096391618,173,0.02,0.05,-83410.67610874999,910512,2.7992424964904785
1727,5.0,527,3.7326626625144854e-05,174,0.02,0.05,-83426.738329625,910832,66.976318359375
1726,67.1875,529,3.326331154962503e-10,175,0.02,0.05,-1962329.3121422501,915132,7515788.0
1726,5.0,530,4.338760845712386e-06,176,0.02,0.05,-83553.2210310625,915452,576.2013549804688
1726,5.0,530,0.0003530507965479046,177,0.02,0.05,-83413.337484625,915772,7.08113431930542
1726,5.0,530,3.094420753768645e-05,178,0.02,0.05,-83391.02079324999,916092,80.79056549072266
1726,5.0,530,0.00025919830659404397,179,0.02,0.05,-83408.40159362499,916412,9.645124435424805
1726,5.0,531,1.809495188354049e-05,180,0.02,0.05,-83396.13994775,916732,138.1600799560547
1725,5.0,531,6.5484614424349274e-06,181,0.02,0.05,-83313.1746075625,917052,381.7690734863281
1725,4.875,531,5.0624557843548246e-06,182,0.02,0.05,-83513.11772112499,917364,493.83148193359375
1725,4.9375,531,2.1919363462075125e-06,183,0.02,0.05,-83695.77417324999,917680,1140.5440673828125
1725,67.1875,534,3.3252181563803163e-10,184,0.02,0.05,-1962986.766393125,921980,7518303.5
1724,4.9375,534,2.2217118385015056e-06,185,0.02,0.05,-83691.18436668749,922296,1125.2584228515625
1724,5.0,534,0.00020642283197958022,186,0.02,0.05,-83408.039253375,922616,12.111063003540039
1724,5.0,535,0.0008463974809274077,187,0.02,0.05,-83410.824557375,922936,2.9536945819854736
1724,5.0,535,1.4753920368093532e-05,188,0.02,0.05,-83367.93948199999,923256,169.4464874267578
1724,4.875,535,3.7889967074988817e-07,189,0.02,0.05,-85286.89761062499,923568,6598.052734375
1723,4.75,535,3.787416972045321e-06,190,0.02,0.05,-83652.9126020625,923872,660.0804443359375
1723,5.0,536,0.007441991474479437,191,0.02,0.05,-83411.473520375,924192,0.3359314501285553
1723,5.0,536,0.0002206405915785581,192,0.02,0.05,-83408.4961725625,924512,11.330643653869629
1723,5.0,536,1.0983387255691923e-05,193,0.02,0.05,-83467.5082905,924832,227.61647033691406
1723,5.0,536,6.428040251194034e-06,194,0.02,0.05,-83311.366900125,925152,388.9210205078125
1723,4.875,536,5.153970050741918e-06,195,0.02,0.05,-83530.75284637499,925464,485.06298828125
1723,5.0,537,0.0002019222010858357,196,0.02,0.05,-83408.15478906251,925784,12.38100528717041
1722,5.0,537,2.3533257262897678e-05,197,0.02,0.05,-83384.632909875,926104,106.23263549804688
1722,5.0,537,0.00013636169023811817,198,0.02,0.05,-83414.023715875,926424,18.333595275878906
1722,4.875,538,4.999934844818199e-06,199,0.02,0.05,-83509.57947768751,926736,500.0064697265625
1721,4.9375,538,2.2015585727785947e-06,200,0.02,0.05,-83692.993298875,927052,1135.55908203125
1721,5.0,538,1.9980654542450793e-05,201,0.02,0.05,-83365.7889266875,927372,125.12102508544922
1721,5.0,538,1.1629878827079665e-05,202,0.02,0.05,-83377.86398743751,927692,214.9635467529297
1721,4.9375,539,2.0450991087272996e-06,203,0.02,0.05,-83594.78850299999,928008,1222.4345703125
1721,4.75,539,7.442734499818471e-07,204,0.02,0.05,-84458.6908161875,928312,3358.980224609375
1720,5.125,539,3.7680831610487076e-07,205,0.02,0.05,-85070.022048,928640,6634.67333984375
1720,5.0,539,0.00023663764295633882,206,0.02,0.05,-83406.091856375,928960,10.564675331115723
1720,4.875,540,5.171313205210026e-06,207,0.02,0.05,-83530.9229998125,929272,483.4361877441406
1720,5.0,540,1.5707697457401082e-05,208,0.02,0.05,-83359.1302243125,929592,159.15762329101562
1719,4.4375,540,1.762797978699382e-06,209,0.02,0.05,-84110.564920875,929876,1418.1998291015625
1719,5.0,540,3.7913923733867705e-07,210,0.02,0.05,-85179.0832336875,930196,6593.8837890625
1719,5.0,541,0.0011709529208019376,211,0.02,0.05,-83410.8420243125,930516,2.1350128650665283
1719,67.1875,543,3.3263342080758207e-10,212,0.02,0.05,-1962356.2805165001,934816,7515780.5
1719,5.0,543,0.0029822865035384893,213,0.02,0.05,-83411.267524125,935136,0.8382828235626221
1719,5.0,544,2.8200136512168683e-05,214,0.02,0.05,-83389.2782058125,935456,88.65204620361328
1718,4.9375,544,2.24102313950425e-06,215,0.02,0.05,-83684.6256176875,935772,1115.5618896484375
1718,67.0625,546,3.3297012369537526e-10,216,0.02,0.05,-1960585.3771711248,940064,7508181.0
1718,5.0,547,1.8729811927187257e-05,217,0.02,0.05,-83361.3829415,940384,133.47703552246094
1718,5.0,547,8.421056918450631e-07,218,0.02,0.05,-84143.272678125,940704,2968.748291015625
1718,67.0625,550,3.334023057632862e-10,219,0.02,0.05,-1958153.1694650622,944996,7498448.0
1718,5.0,550,0.00020629509526770562,220,0.02,0.05,-83407.64761143751,945316,12.118561744689941
1717,4.75,550,1.56645387505705e-06,221,0.02,0.05,-84151.3660754375,945620,1595.96142578125
1717,4.875,550,4.578736934490735e-06,222,0.02,0.05,-83474.553826375,945932,546.0020751953125
1717,5.0,550,0.001345217926427722,223,0.02,0.05,-83411.1023781875,946252,1.858434796333313
1717,5.0,551,7.537196324847173e-07,224,0.02,0.05,-84206.31112574998,946572,3316.883056640625
1717,5.0,551,3.379719419172034e-05,225,0.02,0.05,-83430.03421656249,946892,73.97063446044922
1717,5.0,551,1.9080025595030747e-05,226,0.02,0.05,-83404.795902125,947212,131.02706909179688
1716,5.0,551,0.002266048453748226,227,0.02,0.05,-83411.26753850002,947532,1.1032419204711914
1716,4.875,552,4.939369773637736e-06,228,0.02,0.05,-83506.14758181249,947844,506.1374206542969
1716,4.75,552,3.780295628530439e-06,229,0.02,0.05,-83652.89662024999,948148,661.3239135742188
1715,4.875,552,5.0994053708564024e-06,230,0.02,0.05,-83562.0097926875,948460,490.25323486328125
1715,5.0,552,0.0003226112457923591,231,0.02,0.05,-83409.0158788125,948780,7.749264240264893
1715,5.0,553,0.0017337293829768896,232,0.02,0.05,-83411.93058049999,949100,1.441978096961975
