train/entropy_loss,rollout/ep_len_mean,train/policy_loss,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/std,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/explained_variance,train/n_updates
-15.479657173156738,72.28,-23148.119140625,17500,415,350000,841,1.357163906097412,17185488.0,0.0007,-182008.73164311008,0.0,17499
-15.494305610656738,48.59,-136601.484375,17600,415,352000,846,1.3598073720932007,980817088.0,0.0007,-140970.82943942,0.0,17599
-15.500929832458496,30.15,-448058.21875,17700,415,354000,851,1.3615349531173706,3331851520.0,0.0007,-102382.50053065,2.384185791015625e-07,17699
-15.530543327331543,33.22,4573.08056640625,17800,415,356000,855,1.3654258251190186,769869.25,0.0007,-107500.29878053,-2.384185791015625e-07,17799
-15.531593322753906,45.42,857.8595581054688,17900,415,358000,860,1.3653125762939453,186876.421875,0.0007,-122217.95048154997,0.0,17899
-15.578137397766113,61.64,-433160.96875,18000,415,360000,865,1.3728694915771484,2881199872.0,0.0007,-144206.30943276,0.0,17999
-15.578226089477539,68.79,-41615.93359375,18100,415,362000,870,1.3723608255386353,24553328.0,0.0007,-153226.55673439996,-1.1920928955078125e-07,18099
-15.571725845336914,79.65,-28406.1875,18200,415,364000,875,1.3717095851898193,17894558.0,0.0007,-164481.54783924,-2.384185791015625e-07,18199
-15.563859939575195,62.67,11034.3681640625,18300,415,366000,879,1.3701462745666504,2847613.75,0.0007,-135216.06114583,0.0,18299
-15.580159187316895,73.15,-8624.6064453125,18400,415,368000,884,1.3729283809661865,5222002.5,0.0007,-141622.25305879,0.0,18399
-15.604205131530762,72.74,-62465.25,18500,415,370000,889,1.3769389390945435,90064472.0,0.0007,-156398.72038125002,0.0,18499
-15.64239501953125,65.16,-110550.9765625,18600,415,372000,894,1.3822389841079712,69973992.0,0.0007,-169564.89135569,-1.1920928955078125e-07,18599
-15.644564628601074,47.35,-54959.66796875,18700,415,374000,899,1.3828191757202148,43477704.0,0.0007,-151154.01599141,0.0,18699
-15.616406440734863,49.66,-306506.125,18800,415,376000,904,1.3788312673568726,1920954624.0,0.0007,-136339.99355582002,0.0,18799
-15.615121841430664,51.77,-49982.7421875,18900,415,378000,909,1.3784544467926025,65763080.0,0.0007,-146567.51236757002,0.0,18899
-15.633440971374512,59.52,-125336.6796875,19000,415,380000,914,1.3812448978424072,163980672.0,0.0007,-153082.67119535,0.0,18999
