train/critic_loss,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef,rollout/ep_rew_mean,train/ent_coef_loss,time/fps,time/episodes,time/time_elapsed,train/actor_loss,eval/mean_ep_length,eval/mean_reward
281121.875,360.16,163008,0.001,20363,1.6155914068222046,-521.8814132299999,-0.24592120945453644,275,484,591,-1053.394287109375,,
20837.552734375,358.58,164520,0.001,20552,1.6267316341400146,-637.9854470399999,0.09326747059822083,275,488,596,-983.907470703125,,
13766.7109375,370.2,167304,0.001,20900,1.7481013536453247,-873.66926202,0.20460043847560883,276,492,605,-1051.0670166015625,,
197292.75,383.89,169784,0.001,21210,1.5990395545959473,-777.97361043,0.05653993785381317,276,496,613,-1091.3131103515625,,
19721.765625,383.89,170000,0.001,21237,1.584191083908081,-777.97361043,0.16148421168327332,276,496,613,-1106.0419921875,,
,,170000,,,,,,,,,,182.2,-2899.0382214
98140.3359375,384.69,172024,0.001,21490,1.609039545059204,-668.3595232299999,-0.03541698306798935,276,500,622,-1100.3726806640625,,
125914.09375,395.73,173768,0.001,21708,1.7069423198699951,-593.0652569999999,-0.2566724419593811,276,504,628,-1092.1796875,,
131497.6875,401.95,176928,0.001,22103,1.6760656833648682,-564.9740465999998,0.3496840000152588,277,508,638,-1062.654052734375,,
13204.271484375,395.74,177952,0.001,22231,1.5889008045196533,-615.1271920299998,0.20832762122154236,277,512,641,-1087.9329833984375,,
11178.990234375,402.17,178552,0.001,22306,1.5570108890533447,-764.8460681299999,0.27673590183258057,277,516,643,-1100.80029296875,,
271997.875,400.56,180000,0.001,22487,1.4778250455856323,-772.1823211799998,-0.04731553792953491,277,517,648,-1175.119384765625,,
,,180000,,,,,,,,,,656.8,-855.6308731999998
174577.0625,417.24,182056,0.001,22744,1.4641865491867065,-576.7338142899999,0.052129052579402924,275,520,661,-1109.737548828125,,
101978.375,409.57,183320,0.001,22902,1.4155285358428955,-734.2907502099998,0.09010136127471924,275,524,665,-1155.312255859375,,
121783.1640625,418.49,184776,0.001,23084,1.4725351333618164,-317.95095812,-0.005402989685535431,275,528,669,-1125.171142578125,,
313885.75,429.98,187080,0.001,23372,1.5031201839447021,-405.97437613,0.06422972679138184,276,532,677,-1204.387939453125,,
24941.53125,428.91,189952,0.001,23731,1.4781169891357422,-409.3919328799999,0.16900476813316345,276,536,686,-1156.1363525390625,,
10341.1396484375,428.91,190000,0.001,23737,1.4743014574050903,-409.3919328799999,0.0489472895860672,276,536,686,-1124.10986328125,,
,,190000,,,,,,,,,,382.2,6452.8587016
87620.6796875,449.6,191160,0.001,23882,1.4435609579086304,-584.9944833799999,0.008442334830760956,275,540,694,-1128.234130859375,,
363227.875,445.24,192256,0.001,24019,1.4608783721923828,-449.87872687000004,0.027965202927589417,275,544,697,-1135.451904296875,,
98039.421875,442.84,192880,0.001,24097,1.4540205001831055,-494.36506957999984,0.18929314613342285,275,548,699,-1133.411865234375,,
106160.375,421.23,193632,0.001,24191,1.441364049911499,-509.3428955799999,-0.1105402410030365,275,552,702,-1152.92041015625,,
18494.69140625,433.42,194584,0.001,24310,1.5381780862808228,-467.1275008199999,-0.40520861744880676,275,556,705,-1163.7515869140625,,
92518.8203125,422.4,195552,0.001,24431,1.6747435331344604,-141.45745918999992,-0.5395396947860718,275,560,708,-1163.63134765625,,
267850.1875,422.06,195936,0.001,24479,1.7144169807434082,-98.11913787000005,-0.21553602814674377,276,564,709,-1228.2554931640625,,
114620.3515625,417.33,198040,0.001,24742,1.8705391883850098,-314.82288489999996,0.018657276406884193,276,568,716,-1147.2198486328125,,
103689.515625,403.95,199528,0.001,24928,1.8233003616333008,213.64614563999996,-0.0365418866276741,276,572,721,-1197.2431640625,,
254367.578125,399.72,200000,0.001,24987,1.8092074394226074,222.51345510000002,0.3888014256954193,276,574,723,-1215.36669921875,,
,,200000,,,,,,,,,,705.4,-4263.741817200001
8410.57421875,401.33,200856,0.001,25094,1.7758864164352417,52.701622539999896,0.0562233068048954,274,576,732,-1344.0986328125,,
18958.30078125,403.45,202016,0.001,25239,1.7945520877838135,160.17716226000002,-0.27138078212738037,274,580,736,-1251.59765625,,
261389.828125,401.81,202552,0.001,25306,1.7933729887008667,-222.72615712000012,0.18572703003883362,274,584,738,-1227.2601318359375,,
87265.578125,404.94,203456,0.001,25419,1.6973944902420044,-50.85524778000004,0.054709505289793015,274,588,741,-1164.050537109375,,
130830.359375,396.05,206864,0.001,25845,1.5338345766067505,88.44408206000004,0.05925849452614784,275,592,752,-1204.53955078125,,
21353.955078125,388.03,209080,0.001,26122,1.4812520742416382,162.48318202000007,0.04890095070004463,275,596,759,-1190.6383056640625,,
13306.4853515625,394.4,209744,0.001,26205,1.4705054759979248,136.94115624999998,-0.18077188730239868,275,600,761,-1212.3533935546875,,
7314.4931640625,394.4,210000,0.001,26237,1.4836022853851318,136.94115624999998,-0.13907265663146973,275,600,762,-1177.562255859375,,
,,210000,,,,,,,,,,788.8,-12820.6710986
29490.826171875,383.98,212848,0.001,26593,1.5037739276885986,198.16202647999987,0.2821884751319885,273,604,778,-1205.6282958984375,,
225592.3125,372.83,214048,0.001,26743,1.5293030738830566,-154.29296085999997,-0.23126496374607086,273,608,782,-1179.58544921875,,
11407.6494140625,373.22,215144,0.001,26880,1.5405068397521973,-233.14154626999988,0.05575275048613548,273,612,785,-1250.25830078125,,
78301.3671875,373.96,216408,0.001,27038,1.4982261657714844,-363.3739141,-0.07861128449440002,274,616,789,-1223.6800537109375,,
22991.52734375,359.79,216680,0.001,27072,1.4956245422363281,-443.5440699299998,0.010459408164024353,274,620,790,-1204.428955078125,,
203685.8125,363.9,218016,0.001,27239,1.4552890062332153,-476.41077640000003,0.007069326937198639,274,624,794,-1148.2403564453125,,
16784.8046875,347.71,219344,0.001,27405,1.4636369943618774,-877.0484348400001,-0.17535461485385895,274,628,799,-1234.844970703125,,
91109.5,347.71,220000,0.001,27487,1.505570411682129,-877.0484348400001,-0.23518067598342896,274,628,801,-1195.8919677734375,,
,,220000,,,,,,,,,,591.0,-2786.9083073999996
86779.96875,335.97,221384,0.001,27660,1.6164718866348267,-782.03250203,-0.008716389536857605,272,632,811,-1136.4202880859375,,
33579.75,335.21,222376,0.001,27784,1.6266545057296753,-785.0038050000002,-0.24725773930549622,272,636,814,-1138.117919921875,,
285381.6875,325.16,223936,0.001,27979,1.6230558156967163,-472.43497358999986,-0.09659413248300552,273,640,819,-1216.8046875,,
114728.5546875,340.75,225272,0.001,28146,1.6129465103149414,-784.1448790699999,0.3443177342414856,273,644,823,-1190.488037109375,,
254737.84375,339.94,226696,0.001,28324,1.5110543966293335,-788.6794885999998,0.01996367797255516,273,648,828,-1147.74951171875,,
148724.21875,349.78,227536,0.001,28429,1.5326007604599,-523.0692957399997,-0.06251481175422668,273,652,831,-1247.024658203125,,
54434.9453125,339.27,228080,0.001,28497,1.5526411533355713,-465.7087498399995,0.13758622109889984,273,656,833,-1297.0198974609375,,
29632.3125,338.85,230000,0.001,28737,1.595424771308899,-418.9766421099999,0.0143507719039917,273,659,839,-1164.96630859375,,
,,230000,,,,,,,,,,665.0,-617.1017408
