train/n_updates,time/fps,train/explained_variance,rollout/ep_rew_mean,train/entropy_loss,train/std,train/policy_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,time/iterations,train/value_loss
49499,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2422,990000,0.0007,49500,0.0
49599,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2427,992000,0.0007,49600,0.0
49699,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2432,994000,0.0007,49700,0.0
49799,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2437,996000,0.0007,49800,0.0
49899,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2442,998000,0.0007,49900,0.0
49999,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2447,1000000,0.0007,50000,0.0
50099,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2452,1002000,0.0007,50100,0.0
50199,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2457,1004000,0.0007,50200,0.0
50299,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2462,1006000,0.0007,50300,0.0
50399,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2466,1008000,0.0007,50400,0.0
50499,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2471,1010000,0.0007,50500,0.0
50599,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2476,1012000,0.0007,50600,0.0
50699,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2481,1014000,0.0007,50700,0.0
50799,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2486,1016000,0.0007,50800,0.0
50899,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2491,1018000,0.0007,50900,0.0
50999,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2496,1020000,0.0007,51000,0.0
51099,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2501,1022000,0.0007,51100,0.0
51199,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2505,1024000,0.0007,51200,0.0
51299,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2510,1026000,0.0007,51300,0.0
51399,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2515,1028000,0.0007,51400,0.0
51499,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2520,1030000,0.0007,51500,0.0
51599,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2525,1032000,0.0007,51600,0.0
51699,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2530,1034000,0.0007,51700,0.0
51799,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2535,1036000,0.0007,51800,0.0
51899,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2540,1038000,0.0007,51900,0.0
51999,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2545,1040000,0.0007,52000,0.0
52099,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2550,1042000,0.0007,52100,0.0
52199,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2555,1044000,0.0007,52200,0.0
52299,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2559,1046000,0.0007,52300,0.0
52399,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2564,1048000,0.0007,52400,0.0
52499,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2569,1050000,0.0007,52500,0.0
52599,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2574,1052000,0.0007,52600,0.0
52699,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2579,1054000,0.0007,52700,0.0
52799,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2584,1056000,0.0007,52800,0.0
52899,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2589,1058000,0.0007,52900,0.0
52999,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2594,1060000,0.0007,53000,0.0
53099,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2598,1062000,0.0007,53100,0.0
53199,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2603,1064000,0.0007,53200,0.0
53299,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2608,1066000,0.0007,53300,0.0
53399,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2613,1068000,0.0007,53400,0.0
53499,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2618,1070000,0.0007,53500,0.0
53599,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2623,1072000,0.0007,53600,0.0
53699,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2628,1074000,0.0007,53700,0.0
53799,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2633,1076000,0.0007,53800,0.0
53899,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2638,1078000,0.0007,53900,0.0
53999,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2643,1080000,0.0007,54000,0.0
54099,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2648,1082000,0.0007,54100,0.0
54199,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2653,1084000,0.0007,54200,0.0
54299,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2658,1086000,0.0007,54300,0.0
54399,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2662,1088000,0.0007,54400,0.0
54499,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2667,1090000,0.0007,54500,0.0
54599,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2672,1092000,0.0007,54600,0.0
54699,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2677,1094000,0.0007,54700,0.0
54799,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2682,1096000,0.0007,54800,0.0
54899,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2686,1098000,0.0007,54900,0.0
54999,408,1.0,-10000.0,-9.824592590332031,1.2487677335739136,-0.0,1000.0,2691,1100000,0.0007,55000,0.0
